SOUFRIERE_HILLS
year mn dy  shr  dur   lat     lon    ptch  stn
2010 02 12 0600 0100 13.00   -58.0  0 1
2010 02 12 0600 0100 13.25   -57.6  0 1
2010 02 12 0600 0100 13.50   -57.3  0 1
2010 02 12 0600 0100 14.00   -57.0  0 1
2010 02 12 0600 0100 14.20   -56.5  0 1
2010 02 12 0600 0100 14.50   -56.0  0 1
2010 02 12 0600 0100 14.20   -55.5  0 1
2010 02 12 0600 0100 14.10   -55.0  0 1
2010 02 12 0600 0100 14.50   -54.75 0 1
2010 02 12 0600 0100 14.50   -54.4  0 1
2010 02 12 0600 0100 14.70   -54.5  0 1
2010 02 12 0600 0100 15.00   -54.6  0 1
2010 02 12 0600 0100 15.25   -54.75 0 1
2010 02 12 0600 0100 15.40   -55.0  0 1
2010 02 12 0600 0100 15.60   -55.5  0 1
2010 02 12 0600 0100 15.70   -56.0  0 1
2010 02 12 0600 0100 15.50   -56.6  0 1
2010 02 12 0600 0100 15.30   -57.2  0 1
2010 02 12 0600 0100 15.60   -57.6  0 1
2010 02 12 0600 0100 16.30   -58.0  0 1
2010 02 12 0600 0100 16.20   -58.2  0 1
2010 02 12 0600 0100 16.10   -58.5  0 1
2010 02 12 0600 0100 16.40   -58.75 0 1
2010 02 12 0600 0100 16.70   -59.0  0 1
2010 02 12 0600 0100 16.70   -59.25 0 1
2010 02 12 0600 0100 16.70   -59.5  0 1
2010 02 12 0600 0100 17.20   -59.5  0 1
2010 02 12 0600 0100 17.10   -59.75 0 1
2010 02 12 0600 0100 17.00   -60.0  0 1
2010 02 12 0600 0100 16.50   -60.0  0 1
2010 02 12 0600 0100 16.80   -60.75 0 1
2010 02 12 0600 0100 17.10   -61.5  0 1
2010 02 12 0600 0100 17.00   -62.0  0 1
2010 02 12 0600 0100 16.70   -62.5  0 1
2010 02 12 0600 0100 16.50   -62.5  0 1
2010 02 12 0600 0100 16.30   -62.5  0 1
2010 02 12 0600 0100 16.20   -63.25 0 1
2010 02 12 0600 0100 16.00   -64.0  0 1
2010 02 12 0600 0100 15.30   -64.25 0 1
2010 02 12 0600 0100 14.40   -64.5  0 1
2010 02 12 0600 0100 14.40   -63.75 0 1
2010 02 12 0600 0100 14.50   -63.0  0 1
2010 02 12 0600 0100 14.70   -62.25 0 1
2010 02 12 0600 0100 15.00   -61.5  0 1
2010 02 12 0600 0100 14.90   -60.5  0 1
2010 02 12 0600 0100 14.75   -60.0  0 1
2010 02 12 0600 0100 14.50   -59.5  0 1
2010 02 12 0600 0100 14.00   -59.7  0 1
2010 02 12 0600 0100 13.60   -59.9  0 1
2010 02 12 0600 0100 13.30   -60.0  0 1
2010 02 12 0600 0100 13.30   -59.5  0 1
2010 02 12 0600 0100 13.00   -59.0  0 1
2010 02 12 0600 0100 13.00   -58.5  0 1
2010 02 12 0600 0100 13.00   -58.0  0 1

